ใน	naj˧
อย่างไรก็ตาม	jaːŋ˨˩ raj˧ kɔː˥˩ taːm˧
เล็ก	lek̚˦˥
ที	tʰiː˧
มะ	maʔ˦˥
เป็นหนึ่ง	pen˧ nɯŋ˨˩
ระ	raʔ˦˥
ทำงาน	tʰam˧ ŋaːn˧
หัว	hua˩˩˦
สหรัฐอเมริกา	sa˨˩ ha˨˩ rat̚˦˥ ʔa˨˩ meː˧ ri˦˥ kaː˧
เปน	pen˧
ออกอากาศ	ʔɔːk̚˨˩ ʔaː˧ kaːt̚˨˩
เสีย	sia˩˩˦
คล้าย	kʰlaːj˦˥
นาน	naːn˧
แม่	mɛː˥˩
จุด	tɕut̚˨˩
ส่วนหนึ่ง	suan˨˩ nɯŋ˨˩
ที่สอง	tʰiː˥˩ sɔːŋ˩˩˦
การแสดง	kaːn˧ sa˨˩ dɛːŋ˧
สภา	sa˨˩ pʰaː˧
เดอะ	dɤʔ˨˩
เป็นที่	pen˧ tʰiː˥˩
คิด	kʰit̚˦˥
จำหน่าย	tɕam˧ naːj˨˩
ต่าง	taːŋ˨˩
หลวง	luaŋ˩˩˦
บท	bot̚˨˩
โอลิมปิก	ʔoː˧ lim˧ pik̚˨˩
พิเศษ	pʰi˦˥ seːt̚˨˩
รู	ruː˧
นี	niː˧
โบ	boː˧
กษัตริย์	ka˨˩ sat̚˨˩
นักแสดง	nak̚˦˥ sa˨˩ dɛːŋ˧
โครงการ	kʰroːŋ˧ kaːn˧
เสด็จ	sa˨˩ det̚˨˩
ตะวันออก	ta˨˩ wan˧ ʔɔːk̚˨˩
โจมตี	tɕoːm˧ tiː˧
ตนเอง	ton˧ ʔeːŋ˧
นับ	nap̚˦˥
ขนาดใหญ่	kʰa˨˩ naːt̚˨˩ jaj˨˩
แยก	jɛːk̚˥˩
ซู	suː˧
ลูก	luːk̚˥˩
บุตร	but̚˨˩
เจ	tɕeː˧
สี่	siː˨˩
ชา	tɕʰaː˧
ตัน	tan˧
การพัฒนา	kaːn˧ pʰat̚˦˥ tʰa˦˥ naː˧
เอส	ʔeːs˦˥
จำกัด	tɕam˧ kat̚˨˩
ครอบครัว	kʰrɔːp̚˥˩ kʰrua˧
ดังนั้น	daŋ˧ nan˦˥
ละคร	la˦˥ kʰɔːn˧
จำนวนมาก	tɕam˧ nuan˧ maːk̚˥˩
ยุโรป	ju˦˥ roːp̚˨˩
อาการ	ʔaː˧ kaːn˧
