ใน	naj˧
รอกซ์	rɔːk̚˥˩
เมอร์ฮอลเดอร์	mɤː˧ hɔːn˧ dɤː˧
เค็นเซย์	kʰen˧ seː˧
เรียท	riat̚˥˩
ด้วยเหตุฉะนี้	duaj˥˩ heːt̚˨˩ tɕʰa˨˩ niː˦˥
คิงส์เลย์	kʰiŋ˧ leː˧
กลืนน้ำลาย	klɯːn˧ naːm˦˥ laːj˧
ลจบ	
ดูว์บง	duː˧ boŋ˧
ไฟฟ้ากระแส	faj˧ faː˦˥ kra˨˩ sɛː˩˩˦
ฮัมส์	ham˧
สสอร์ท	sa˨˩ sɔːt̚˨˩
ฟว์	fɔː˧
รีดนาทาเร้น	riːt̚˥˩ naː˧ tʰaː˧ reːn˦˥
ลามปาม	laːm˧ paːm˧
แฮมป์ส	hɛːm˧
ศิขัณฑิณ	si˨˩ kʰan˩˩˦ tʰin˧
ซาวร์	saːw˧
การเปิดอภิปรายทั่วไป	kaːn˧ pɤːt̚˨˩ ʔa˨˩ pʰi˦˥ praːj˧ tʰua˥˩ paj˧
เจลลาติน	tɕeː˧ la˦˥ laː˧ tin˧
บลิซท์	blit̚˨˩
รค์	rɔː˧
ลกิตติ์	la˦˥ kit̚˨˩
ฤกษ์ล่าง	rɤːk̚˥˩ laːŋ˥˩
เวอเนียร์	wɤː˧ nia˧
สเปลย์	sa˨˩ peːn˧
ไข่หงส์	kʰaj˨˩ hoŋ˩˩˦
ยังงั้น	jaŋ˧ ŋan˦˥
ตัดไฟแต่ต้นลม	tat̚˨˩ faj˧ tɛː˨˩ ton˥˩ lom˧
พีส์	pʰiː˧
โต้รุ่ง	toː˥˩ ruŋ˥˩
โบตัน	boː˧ tan˧
สปาร์ต้า	sa˨˩ paː˧ taː˥˩
แอ็ดวาร์ต	ʔɛt̚˨˩ waːt̚˥˩
บีเอ็มดับบลิว	biː˧ ʔem˧ dap̚˨˩ bliw˧
อัคก้า	ʔak̚˨˩ kaː˥˩
ไท่ผู	tʰaj˥˩ pʰuː˩˩˦
ตาแฉะ	taː˧ tɕʰɛʔ˨˩
ลาร์นอ	laː˧ nɔː˧
โษภย	sa˨˩ pʰoːj˧
กันสนิม	kan˧ sa˨˩ nim˩˩˦
ยสเตอร์	jot̚˦˥ tɤː˥˩
ยุ่บ	jup̚˥˩
รูปาวจร	ruː˧ paː˧ wa˦˥ tɕɔːn˧
สโฟไล	sa˨˩ foː˧ laj˧
ตายด้าน	taːj˧ daːn˥˩
อแลร์	ʔa˨˩ lɛː˧
ซ็องด์	sɔŋ˧
ลมอร์	la˦˥ mɔː˧
ตกรถ	tok̚˨˩ rot̚˦˥
อะห์เหม็ด	ʔa˨˩ met̚˨˩
ช่างผู้ชำนาญ	tɕʰaŋ˥˩ pʰuː˥˩ tɕʰam˧ naːn˧
ฤษยา	rit̚˦˥ sa˨˩ jaː˩˩˦
จัตวาทัณฑี	tɕat̚˨˩ ta˨˩ waː˧ tʰan˧ tʰiː˧
แปลกหู	plɛːk̚˨˩ huː˩˩˦
ทดลองปฏิบัติ	tʰot̚˦˥ lɔːŋ˧ pa˨˩ ti˨˩ bat̚˨˩
ไม่ใกล้ไม่ไกล	maj˥˩ klaj˥˩ maj˥˩ klaj˧
ละครย่อย	la˦˥ kʰɔːn˧ jɔːj˥˩
โฏตกัจ	toːt̚˨˩ kat̚˨˩
แพ้รู้	pʰɛː˦˥ ruː˦˥
จิ้งยวี่	tɕiŋ˥˩ ja˦˥ wiː˥˩
น็อยบวร์ค	nɔj˧ bɔː˧ kʰɔː˧
อะซีติก	ʔa˨˩ siː˧ tik̚˨˩
คอยที	kʰɔːj˧ tʰiː˧
ดอยท์	dɔːj˧
อุโลก	ʔu˨˩ loːk̚˥˩
ละอง	la˦˥ ʔoŋ˧
เวเลส	weː˧ leːt̚˨˩
ระบบเครือญาติ	ra˦˥ bop̚˨˩ kʰrɯa˧ jaːt̚˥˩
โธดิสต์	tʰoː˧ dit̚˨˩
รูปเงา	ruːp̚˥˩ ŋaw˧
เฮาเฉีย	haw˧ tɕʰia˩˩˦
อัสสุชล	ʔat̚˨˩ su˨˩ tɕʰon˧
ทังก์	tʰaŋ˧
ดั้มอควอเรียส	dam˥˩ ʔa˨˩ kʰwɔː˧ riat̚˥˩
เอลด์	ʔeːn˧
เอลฟ์เวียร์ด	ʔeːn˧ wia˧
อิ๊บ	ʔip̚˦˥
ไม่เข้าเรื่อง	maj˥˩ kʰaw˥˩ rɯaŋ˥˩
เฮ็นเรียต	hen˧ riat̚˥˩
ฮันท์ลีย์	han˧ liː˧
ไบเล่	baj˧ leː˥˩
สัมพจ	sam˩˩˦ pʰot̚˦˥ tɕaʔ˨˩
ม้ม	mom˦˥
ท่าชะมวง	tʰaː˥˩ tɕʰa˦˥ muaŋ˧
เปิม	pɤːm˧
กูฏาคาร	kuː˧ taː˧ kʰaːn˧
นหุ	na˦˥ huʔ˨˩
ยโศ	ja˦˥ soː˩˩˦
คอนน์	kʰɔːn˧
ไหนว่าจะ	naj˩˩˦ waː˥˩ tɕaʔ˨˩
เฟนส	feː˧ not̚˦˥
ครอบครองปรปักษ์	kʰrɔːp̚˥˩ kʰrɔːŋ˧ pɔː˧ ra˦˥ pak̚˨˩
เบงชเวตี้	weː˧ tiː˥˩
เหม็ดเบ็ก	met̚˨˩ bek̚˨˩
อโชมงต์	ʔa˨˩ tɕʰa˦˥ moːŋ˧
อัลตั้ม	ʔan˧ tam˥˩
สตรีลึงค์	sa˨˩ triː˧ lɯŋ˧
เปื๋อย	pɯaj˩˩˦
แผงไฟ	pʰɛːŋ˩˩˦ faj˧
คณะกรรมาธิการร่วมกัน	kʰa˦˥ na˦˥ kan˧ maː˧ tʰi˦˥ kaːn˧ ruam˥˩ kan˧
ภับ	pʰap̚˦˥
ลูว	luːw˧
แจ๊ด	tɕɛːt̚˦˥
วื่อง	wɯː˥˩ ŋɔː˧
รังปืนกล	raŋ˧ pɯːn˧ kon˧
เวเวลล์	weː˧ weːn˧
เรื่องเสียหาย	rɯaŋ˥˩ sia˩˩˦ haːj˩˩˦
ชฌงค	tɕʰɔː˧
สันมือ	san˩˩˦ mɯː˧
อรร์	ʔon˧
เฮิร์สท์	hɤːt̚˥˩
เสียศักดิ์ศรี	sia˩˩˦ sak̚˨˩ siː˩˩˦
สวมวิญญาณ	suam˩˩˦ win˧ jaːn˧
ท่ามาก	tʰaː˥˩ maːk̚˥˩
ข้าวนาปี	kʰaːw˥˩ naː˧ piː˧
เจสต์	tɕeːt̚˨˩
อะดรีนาลิน	ʔa˨˩ driː˧ naː˧ lin˧
โน้ว	noːw˦˥
งี่	ŋiː˥˩
เทพิน	tʰeː˧ pʰin˧
ฝากงาน	faːk̚˨˩ ŋaːn˧
ทรูวิชั่น	suː˧ wi˦˥ tɕʰan˥˩
เดินทอดน่อง	dɤːn˧ tʰɔːt̚˥˩ nɔːŋ˥˩
มึ้ง	mɯŋ˦˥
รู้ถึงหู	ruː˦˥ tʰɯŋ˩˩˦ huː˩˩˦
เหี่ยม	hiam˨˩
ทัมนัส	tʰam˧ nat̚˦˥
กอร์กอส	kɔː˧ kɔːt̚˨˩
นอบนบ	nɔːp̚˥˩ nop̚˦˥
กระแตไต่ไม้	kra˨˩ tɛː˧ taj˨˩ maːj˦˥
ซังก์	saŋ˧
หอบหิ้ว	hɔːp̚˨˩ hiw˥˩
พลำ	pʰlam˧
ลเวอส์	la˦˥ wɤː˧
สัมมาอาชีพ	sam˩˩˦ maː˧ ʔaː˧ tɕʰiːp̚˥˩
หนวดแมว	nuat̚˨˩ mɛːw˧
ฮอนจง	hɔːn˧ tɕoŋ˧
ติดเป็นนิสัย	tit̚˨˩ pen˧ ni˦˥ saj˩˩˦
ถือวิสาสะ	tʰɯː˩˩˦ wi˦˥ saː˩˩˦ saʔ˨˩
บือร์นาร์	bɯː˧ naː˥˩
ขี้หมา	kʰiː˥˩ maː˩˩˦
ปืก	pɯːk̚˨˩
กรรมเวร	kam˧ weːn˧
ลอายส์	la˦˥ ʔaːj˧
พิกเลอร์	pʰi˦˥ ka˨˩ lɤː˧
สเชนจด์	sɔː˩˩˦ tɕʰa˦˥ neːt̚˥˩
จวนเจียน	tɕuan˧ tɕian˧
เตรียมประถม	triam˧ pra˨˩ tʰom˩˩˦
ใหล่	laj˥˩
ยัวร์เฟรนด์	jaw˧ freːn˧
เอิร์นเนส	ʔɤːn˧ neːt̚˥˩
แล็ส	lɛt̚˦˥
ยัวร์ฮาร์ต	jaw˧ haːt̚˥˩
แวร์ซูว์รวซ	wɛː˧ suː˧ ruat̚˥˩
น่าร์	naː˥˩
สอบซ่อม	sɔːp̚˨˩ sɔːm˥˩
ตเวีย	tɔː˧ wia˧
ไม่เต็มเต็ง	maj˥˩ tem˧ teŋ˧
เซียเนีย	sia˧ nia˧
มัคคุเทศน์	mak̚˦˥ kʰu˦˥ tʰeːt̚˥˩
ทิสต้า	tʰi˦˥ sa˨˩ taː˥˩
โดยพร้อมเพรียง	doːj˧ pʰrɔːm˦˥ pʰriaŋ˧
พิ่ม	pʰim˥˩
ไปรษณียบรรณ	praj˧ sa˨˩ niː˧ ja˦˥ ban˧
บุสส์เช	but̚˨˩ tɕʰeː˧
ฎร	dɔːn˧
ล็อยช์	lɔj˧
อัลมัร	ʔan˧ man˧
กระพุ่ม	kra˨˩ pʰum˥˩
เซ็มเบิร์ก	sem˧ bɤːk̚˨˩
วเลนซ์	wa˦˥ leːn˧
วูลฟ์แฮมป์	wuːn˧ hɛːm˧
ดาวประจำเมือง	daːw˧ pra˨˩ tɕam˧ mɯaŋ˧
เสื่อน้ำมัน	sɯa˨˩ naːm˦˥ man˧
ออร์ธอดอกซ์	ʔɔːt̚˨˩ ʔa˨˩ dɔːk̚˨˩
บราร์เบ	ba˨˩ raː˧ beː˧
อเลสเตอร์	ʔa˨˩ leːt̚˨˩ tɤː˥˩
กัจฉิ	kat̚˨˩ tɕʰiʔ˨˩
ทันตาเห็น	tʰan˧ taː˧ hen˩˩˦
ลภัสร	rɔː˧
มัชฌิมวัย	mat̚˦˥ tɕʰi˦˥ ma˦˥ waj˧
โจค	tɕoːk̚˨˩
ดีบั๊ก	diː˧ bak̚˦˥
แวบเดียว	wɛːp̚˥˩ diaw˧
ณามฬ	naːm˧ lɔː˧
เคอะเขิน	kʰɤ˦˥ kʰɤːn˩˩˦
ซัททอลล์	sat̚˦˥ tʰɔːn˧
ศาลเด็ก	saːn˩˩˦ dek̚˨˩
มักใหญ่	mak̚˦˥ jaj˨˩
เพาช์	pʰaw˧
ลอเรนท์	lɔː˧ reːn˧
ออร์ท	ʔɔːt̚˨˩
แจ๊บ	tɕɛːp̚˦˥
อายก์นอร์	ʔaːj˧ ʔɔː˧
การหมักหมม	kaːn˧ mak̚˨˩ mom˩˩˦
ฮาร์ทสฟิลด์	haːt̚˥˩ sa˨˩ fin˧
รู้จักมักจี่	ruː˦˥ tɕak̚˨˩ mak̚˦˥ tɕiː˨˩
ภิยโย	pʰi˦˥ ja˦˥ joː˧
น่าคบหา	naː˥˩ kʰop̚˦˥ haː˩˩˦
คจ	kʰot̚˦˥
วาวล์	waːw˧
การวิจัยร่วม	kaːn˧ wi˦˥ tɕaj˧ ruam˥˩
เภณี	pʰeː˧ niː˧
บิกซ์	bik̚˨˩
ช่อม่วง	tɕʰɔː˥˩ muaŋ˥˩
ดัชเชสคิ	dat̚˨˩ tɕʰa˦˥ tɕʰeːt̚˥˩ kʰiʔ˦˥
เด็สปิ	det̚˨˩ piʔ˨˩
ซเซีย	sɔː˧ sia˧
อยึนจือ	ʔa˨˩ jɯʔ˨˩
อพิ	ʔa˨˩ pʰiʔ˦˥
เอินกรัมม์	ʔɤːn˧ ka˨˩ ram˧
ฟิสท์	fit̚˦˥
เมส์	meː˧
คละเคล้า	kʰla˦˥ kʰlaw˦˥
เทอร์มัล	tʰɤː˧ man˧
จัร	tɕan˧
จังค์	tɕaŋ˧
ยนท์	jon˧
เคิร์ชเบิร์ก	kʰɤːt̚˥˩ bɤːk̚˨˩
ซอล์ม	sɔːm˧
หว๋อ	
ฉากบังเพลิง	tɕʰaːk̚˨˩ baŋ˧ pʰlɤːŋ˧
ปัจจันตชนบท	pat̚˨˩ tɕan˧ ta˨˩ tɕʰon˧ na˦˥ bot̚˨˩
อเลิร์ต	ʔa˨˩ lɤːt̚˨˩
เคราแพะ	kʰraw˧ pʰɛʔ˦˥
ซอร์เบ็ต	sɔː˧ bet̚˨˩
ฮอคินส์	hɔː˧ kʰin˧
โซยูซ	soː˧ juːt̚˥˩
เงินก้นถุง	ŋɤn˧ kon˥˩ tʰuŋ˩˩˦
ยซ	jɔː˧ sɔː˧
เทียร์พิตส์	tʰia˧ pʰit̚˦˥
ช่างเย็บ	tɕʰaŋ˥˩ jep̚˦˥
การคดโกง	kaːn˧ kʰot̚˦˥ koːŋ˧
เบตเตอร์ทิงส์	beː˧ ta˨˩ tɤː˧ tʰiŋ˧
เขิง	kʰɤːŋ˩˩˦
วัลคีเรีย	wan˧ kʰiː˧ ria˧
บนีย์	
อวี๋เยี่ยน	ʔa˨˩ wiː˩˩˦ jian˥˩
ยิ้มสู้	jim˦˥ suː˥˩
หามรุ่งหามค่ำ	haːm˩˩˦ ruŋ˥˩ haːm˩˩˦ kʰam˥˩
ยิดฮ์	jit̚˦˥
วัคค์	wak̚˦˥
มัจยาร์	mat̚˦˥ jaː˧
ชีระ	tɕʰiː˧ raʔ˦˥
รมป์	rom˧
เฉียนเหลียง	tɕʰian˩˩˦ liaŋ˩˩˦
บูร์กิ	buː˧ kiʔ˨˩
บะญุ	ba˨˩ juʔ˦˥
รเล	
อเนน	ʔa˨˩ neːn˧
คัซ	kʰat̚˦˥
เคอร์ส	kʰɤː˧
เฮย์เนส	heː˧ neːt̚˥˩
แก็งก์	kɛŋ˧
สดาลย์	sa˨˩ daːn˧
เตาะแตะ	tɔ˨˩ tɛʔ˨˩
ดินสอดำ	din˧ sɔː˩˩˦ dam˧
พึ่งใบบุญ	pʰɯŋ˥˩ baj˧ bun˧
เลสส์	leːt̚˥˩
อัศวินม้าขาว	ʔat̚˨˩ sa˨˩ win˧ maː˦˥ kʰaːw˩˩˦
รวยริน	ruaj˧ rin˧
รชต	ra˦˥ tɕʰot̚˦˥
ทะเบียนสำมะโนครัว	tʰa˦˥ bian˧ sam˩˩˦ ma˦˥ noː˧ kʰrua˧
ไฉ่นี	tɕʰaj˨˩ niː˧
เดือก	dɯak̚˨˩
งชเบเซิร์ค	ŋot̚˦˥ beː˧ sɤːk̚˥˩
เด็นโตะ	den˧ toʔ˨˩
เบ็ตต์	bet̚˨˩
บินท์	bin˧
ต้มเค็ม	tom˥˩ kʰem˧
ตป	top̚˨˩
จิบบ์	tɕip̚˨˩
เซี่ยงเฉิง	siaŋ˥˩ tɕʰɤːŋ˩˩˦
สกิทาคามี	sa˨˩ ki˨˩ tʰaː˧ kʰaː˧ miː˧
ลำเลิก	lam˧ lɤːk̚˥˩
มู่เซิ่ง	muː˥˩ sɤːŋ˥˩
เตอร์นอวอ	tɤː˧ ʔa˨˩ wɔː˧
สวีทส์	sa˨˩ wiːt̚˨˩
ปฤจฉา	prit̚˨˩ tɕʰaː˩˩˦
ร้องทัก	rɔːŋ˦˥ tʰak̚˦˥
อู๋จื่อ	ʔuː˩˩˦ tɕɯː˨˩
ทัสส	tʰat̚˦˥ sa˨˩ sɔː˩˩˦
สภะ	sa˨˩ pʰaʔ˦˥
เก็ตซ์	ket̚˨˩
เญ็ส	jet̚˦˥
ฟัวซ์	faw˧
มัตตัญญุ	mat̚˦˥ tan˧ juʔ˦˥
การจุ	kaːn˧ tɕuʔ˨˩
แกร็ง	krɛŋ˧
พิมพาภรณ์	pʰim˧ pʰaː˧ pʰɔːn˧
จ่ารง	tɕaː˨˩ roŋ˧
ปลิม	plim˧
มอร์คอฟ	mɔː˧ kʰɔːp̚˥˩
ทเศ	tʰa˦˥ seː˩˩˦
ซัตมก	sat̚˦˥ mok̚˦˥
ลเล็ท	la˦˥ let̚˦˥
ค็อมร์	kʰɔm˧
รันส์	ran˧
เลส์พ็อกเก็ต	leː˧ pʰɔk̚˦˥ ket̚˨˩
ตั๋วเงินคลัง	tua˩˩˦ ŋɤn˧ kʰlaŋ˧
นเฟิสต์	
ความผิดซึ่งหน้า	kʰwaːm˧ pʰit̚˨˩ sɯŋ˥˩ naː˥˩
เกิ๋น	kɤːn˩˩˦
ษษะกอลัยน์	kɔː˧ laj˧
ปรวนแปร	pruan˧ prɛː˧
เลเฟนท์	leː˧ feːn˧
อลัตล็อง	ʔa˨˩ lat̚˨˩ lɔŋ˧
เออร์กอต	ʔɤː˧ kɔːt̚˨˩
ล้างอาย	laːŋ˦˥ ʔaːj˧
เต็มอกเต็มใจ	tem˧ ʔok̚˨˩ tem˧ tɕaj˧
อริต์	ʔa˨˩ riʔ˨˩
จ็องย็อน	tɕɔŋ˧ jɔn˧
เทียส์ฟอร์เฟียส์	tʰia˧ fia˧
สเลย์ปนีร์	sa˨˩ leː˩˩˦ niː˧
เป็กซ	pek̚˨˩ sɔː˧
ฟอร์เตาน์	fɔː˧ taw˧
ทิศะ	tʰi˦˥ saʔ˨˩
สะพานเสี้ยว	sa˨˩ pʰaːn˧ siaw˥˩
หนี่ว์เจิน	niː˨˩ tɕɤːn˧
แฟรต	frɛːt̚˥˩
ช็อนด็อก	tɕʰɔn˧ dɔk̚˨˩
โต๊ะกัง	to˦˥ kaŋ˧
ฮูร	huːn˧
รวี่	ra˦˥ wiː˥˩
ลตรอยด์	lot̚˦˥ rɔːj˧
ฐตม	
ซาร์โคมา	saː˧ kʰoː˧ maː˧
เคย์ลีย์	kʰeː˧ liː˧
ทธามาตย์	maːt̚˨˩
ปุ่	
ไฮไฟว์	haj˧ faj˧
แมฟ	mɛːp̚˥˩
ดูร้าย	duː˧ raːj˦˥
ยกนิ้ว	jok̚˦˥ niw˦˥
ลคอนส์	la˦˥ kʰɔːn˧
ฮุซัยนียะฮ์	hu˦˥ saj˧ niː˧ jaʔ˦˥
มาร์เชล	maː˧ tɕʰeːl˧
ยูถะ	juː˧ tʰaʔ˨˩
แกร์ด	kɛː˧
ป้วย	puaj˥˩
ดอตแมทริกซ์	dɔːt̚˨˩ mɛː˧ tʰrik̚˦˥
อิปเปน	ʔi˨˩ pa˨˩ peːn˧
อนิจส์	ʔa˨˩ nit̚˨˩
เอ็ปเวิร์ธ	ʔep̚˨˩ wɤːt̚˥˩
ปากร้ายใจดี	paːk̚˨˩ raːj˦˥ tɕaj˧ diː˧
คุ้มดีคุ้มร้าย	kʰum˦˥ diː˧ kʰum˦˥ raːj˦˥
เรกต์เอกซ์	reːk̚˥˩ ʔeːk̚˨˩
สภากาแฟ	sa˨˩ pʰaː˧ kaː˧ fɛː˧
มยัต	ma˦˥ jat̚˦˥
แปลบ	plɛːp̚˨˩
ยวะ	ja˦˥ waʔ˦˥
ลเฟนบึทเทิล	
เน้นท์	neːn˦˥
หนีหน้า	niː˩˩˦ naː˥˩
เบานซ์	baw˧ nɔː˧
เอย์เซย์	ʔeː˧ seː˧
ไฟเดอร์	faj˧ dɤː˧
ผมบาง	pʰom˩˩˦ baːŋ˧
ตัจญ์	tat̚˨˩
ฟิมล์	fim˧
หนังกลับ	naŋ˩˩˦ klap̚˨˩
เบรสเลท	beːn˧ sa˨˩ leːt̚˨˩
เลาก์	law˧
กลัฟ	ka˨˩ lap̚˨˩
โฟลค	floːk̚˥˩
ษาภรณ์	saː˩˩˦ pʰɔːn˧
เหมือดคน	mɯat̚˨˩ kʰon˧
กัสเตลส์	kat̚˨˩ teːn˧
รูร์ก	ruː˧
คย็องซ็อง	sɔŋ˧
สปาร์เคิล	sa˨˩ paː˧ kʰɤːn˧
ไภรพ	pʰaj˧ rop̚˦˥
กระพี้เขาควาย	kra˨˩ pʰiː˦˥ kʰaw˩˩˦ kʰwaːj˧
บรูนส์	ba˨˩ ruːn˧
จฟ	tɕɔː˧ fɔː˧
มอตต์	mɔːt̚˥˩
เนนแบร์ก	neː˧
เข้าปริวาสกรรม	kʰaw˥˩ pa˨˩ ri˦˥ waːt̚˥˩ kam˧
ครุกาบัติ	kʰa˦˥ ru˦˥ kaː˧ bat̚˨˩
นามสมญา	naːm˧ som˩˩˦ jaː˧
กฮอร์น	
ยาควบคุมพิเศษ	jaː˧ kʰuap̚˥˩ kʰum˧ pʰi˦˥ seːt̚˨˩
เถาคัน	tʰaw˩˩˦ kʰan˧
ฮ้วน	huan˦˥
ณิศา	ni˦˥ saː˩˩˦
บูห์	buː˧
อัซปิ	ʔat̚˨˩ piʔ˨˩
ฮายน์	haːj˧
ร็องด์ฌัต	rɔŋ˧ tɕʰat̚˦˥
งาร์	ŋaː˧
วแชตส์	wa˦˥ tɕʰɛːt̚˥˩
เวิก	wɤːk̚˥˩
ยาคท์	jaːk̚˥˩
ไลฟ	
ครอฟ	kʰrɔːp̚˥˩
เดียนส์	dian˧
ข้ม	kʰom˥˩
เบรียง	briaŋ˧
ยึกยือ	jɯk̚˦˥ jɯː˧
ซัลดี้	san˧ diː˥˩
ฮอสค์	hɔːt̚˥˩
หุล	hun˩˩˦
ครอวล์	kʰrɔːw˧
สปอตส์อิลลัส	sa˨˩ pɔːt̚˨˩ ʔin˧ lat̚˦˥
อิตถีลิงค์	ʔit̚˨˩ tʰiː˩˩˦ liŋ˧
อัศศอล	ʔat̚˨˩ sa˨˩ sɔːn˩˩˦
ฮาร์ซ	haːt̚˥˩
ทรุมส์	sum˧
กระซิบกระซาบ	kra˨˩ sip̚˦˥ kra˨˩ saːp̚˥˩
ฟะฮด์	fa˦˥ hɔː˧
เอ็บส์ฟ	ʔep̚˨˩
แล็กซองดร์	lɛk̚˦˥ sɔːŋ˧
แทงใจ	tʰɛːŋ˧ tɕaj˧
เวเลนซี	weː˧ leːn˧ siː˧
กู้หน้า	kuː˥˩ naː˥˩
อะฮ์ซัย	ʔa˨˩ saj˧
ฮาร์โจ	haː˧ tɕoː˧
เดมพ์	deːm˧
เทิลวิตช์	tʰɤːn˧ wit̚˦˥
การยื่นมือ	kaːn˧ jɯːn˥˩ mɯː˧
ญันดัล	jan˧ dan˧
จ้ด	tɕot̚˥˩
ไขข้อข้องใจ	kʰaj˩˩˦ kʰɔː˥˩ kʰɔːŋ˥˩ tɕaj˧
พร้อมท์	pʰrɔːm˦˥
ทัลส์	tʰan˧
ยับย่อย	jap̚˦˥ jɔːj˥˩
คำผัน	kʰam˧ pʰan˩˩˦
ชัทแธมเฮ้าส์	tɕʰat̚˦˥ tʰɛːm˧ haw˦˥
เนียค	niak̚˥˩
เพราะหู	pʰrɔ˦˥ huː˩˩˦
วัลด	wan˧ dɔː˧
สภาวะผิดปกติ	sa˨˩ pʰaː˧ wa˦˥ pʰit̚˨˩ pok̚˨˩ ka˨˩ tiʔ˨˩
ยส์	jɔː˧
จุดดี	tɕut̚˨˩ diː˧
ฮัคเคิน	hak̚˦˥ kʰɤːn˧
เบนน์	beːn˧
ชัมซุล	tɕʰam˧ sun˧
หน่วยราชการลับ	nuaj˨˩ raːt̚˥˩ tɕʰa˦˥ kaːn˧ lap̚˦˥
อีลาสติน	ʔiː˧ laː˧ sa˨˩ tin˧
พระพุทธภาษิต	pʰra˦˥ pʰut̚˦˥ tʰa˦˥ pʰaː˧ sit̚˨˩
ปักข	pak̚˨˩ kʰaʔ˨˩
หัวคะแนน	hua˩˩˦ kʰa˦˥ nɛːn˧
ยือเริต	jɯː˧ rɤːt̚˥˩
เฮ็ฟ	hep̚˦˥
สควอว์วัลเลย์	sa˨˩ kʰwɔː˧ wan˧ leː˧
มงต์ฟอต์	moŋ˧ ʔɔː˧
ตัดกิเลส	tat̚˨˩ ki˨˩ leːt̚˨˩
สธี	sa˨˩ tʰiː˧
คิเล	kʰi˦˥ leː˧
คอตส์เวิร์ธ	kʰɔːt̚˥˩ wɤːt̚˥˩
เศษิ	seː˩˩˦ siʔ˨˩
ใส่กลอน	saj˨˩ klɔːn˧
ซัปพลาย	sap̚˦˥ pʰlaːj˧
เจิส	tɕɤːt̚˨˩
แยบ	jɛːp̚˥˩
ทราร์ค	tʰa˦˥ raːk̚˥˩
ถนะ	tʰa˨˩ naʔ˨˩
รางจืด	raːŋ˧ tɕɯːt̚˨˩
อรหัน	ʔɔː˧ ra˦˥ han˩˩˦
สลัส	sa˨˩ lat̚˨˩
ว็อนกย็อง	wɔn˧
ตะกั่วแดง	ta˨˩ kua˨˩ dɛːŋ˧
ทวิบท	tʰa˦˥ wi˦˥ bot̚˨˩
ดั๊กนง	dak̚˦˥ noŋ˧
วูดส	wuːt̚˥˩ sɔː˩˩˦
ธึก	tʰɯk̚˦˥
ทธัม	
อ็อพวัล	ʔɔp̚˨˩ wan˧
เนเวีย	neː˧ wia˧
ทรินิแดด	tʰa˦˥ ri˦˥ ni˦˥ dɛːt̚˨˩
แคทวอล์ก	kʰɛː˧ tʰa˦˥ wɔːk̚˥˩
คร่ำทอง	kʰram˥˩ tʰɔːŋ˧
เฟินส์	fɤːn˧
ทันตกรรมจัดฟัน	tʰan˧ ta˨˩ kam˧ tɕat̚˨˩ fan˧
รย็อน	ra˦˥ jɔn˧
นทน์	not̚˦˥
ผีเสื้อเมือง	pʰiː˩˩˦ sɯa˥˩ mɯaŋ˧
เพ้ย	pʰɤːj˦˥
จลา	tɕa˨˩ laː˧
ศึกกลางเมือง	sɯk̚˨˩ klaːŋ˧ mɯaŋ˧
ร็องป	rɔŋ˧ pɔː˧
นีวจบ	niː˧ wa˦˥ tɕop̚˨˩
ว่านหางช้าง	waːn˥˩ haːŋ˩˩˦ tɕʰaːŋ˦˥
เมาต์เทนส์	maw˧ tʰeːn˧
ดจัส	
พัชระ	pʰat̚˦˥ tɕʰa˦˥ raʔ˦˥
ควันท์	kʰwan˧
มูร์เตีย	muː˧ tia˧
ลปอ	la˦˥ pɔː˧
สปอว์น	sa˨˩ pɔːn˧
กุ้งเต้น	kuŋ˥˩ teːn˥˩
แทมพินีส	tʰɛːm˧ pʰi˦˥ niːs˦˥
เม็ตท	met̚˦˥ tʰɔː˧
เซียงถง	siaŋ˧ tʰoŋ˩˩˦
อคูร์	ʔa˨˩ kʰuː˧
ลอสเซีย	lɔːt̚˥˩ sia˧
บูยิด	buː˧ jit̚˦˥
นแดนท์	
แดร์เลย์	dɛː˧ leː˧
เอ็ตสึงุ	ʔet̚˨˩ sɯ˨˩ ŋuʔ˦˥
ชิห์	tɕʰiʔ˦˥
ชนิทซ์เลอร์	tɕʰa˦˥ nit̚˦˥ lɤː˧
ไบติ้งชาร์ค	baj˧ tiŋ˥˩ tɕʰaːk̚˥˩
ตติ้งวูลฟ์	ta˨˩ tiŋ˥˩ wuːn˧
นักส์	nak̚˦˥
ทัคเก็ต	tʰak̚˦˥ ket̚˨˩
พิวชาร์ด	pʰi˦˥ wa˦˥ tɕʰaːt̚˥˩
สิงคลี	siŋ˩˩˦ kʰliː˧
ยฮวด	
มะอึก	ma˦˥ ʔɯk̚˨˩
ริตต์	rit̚˦˥
กระทบกระเทือนใจ	kra˨˩ tʰop̚˦˥ kra˨˩ tʰɯan˧ tɕaj˧
สวิตต์	sa˨˩ wit̚˨˩
เว๋ย	
เซี่ยจื้อ	sia˥˩ tɕɯː˥˩
ทิมสงฆ์	tʰim˧ soŋ˩˩˦
นเก็น	na˦˥ ken˧
โจมจับ	tɕoːm˧ tɕap̚˨˩
แมดอ	mɛː˧ dɔː˧
ผูเย่	pʰuː˩˩˦ jeː˥˩
เอ็ซ	ʔet̚˨˩
เร็ทท์	ret̚˦˥
