ฺ	truncated:<Fail>ฺ</Fail>
ตฺถํ	truncated:<Fail>ตฺถํ</Fail>
วัตุ	truncated:<Fail>วัตุ</Fail>
ฺธุ	truncated:<Fail>ฺธุ</Fail>
เดิอน	truncated:<Fail>เดิอน</Fail>
ซนืย	truncated:<Fail>ซนืย</Fail>
ฺว่หฺ	truncated:<Fail>ฺว่หฺ</Fail>
ลฺวี่	truncated:<Fail>ลฺวี่</Fail>
ตสฺส	truncated:<Fail>ตสฺส</Fail>
น์วูด	truncated:วูด
ฺมส	truncated:<Fail>ฺมส</Fail>
ก่	truncated:<Fail>ก่</Fail>
เลห	inventory:bad body: 'leː-' in 'leː-˧'
ฺณ	truncated:<Fail>ฺณ</Fail>
โจฺว	truncated:<Fail>โจฺว</Fail>
ลบืร์ค	truncated:<Fail>ลบืร์ค</Fail>
ส์เนอร์	truncated:เนอร์
ว์การ์	truncated:การ์
ญฺจ	truncated:<Fail>ญฺจ</Fail>
หืว	truncated:<Fail>หืว</Fail>
อสฺ	truncated:<Fail>อสฺ</Fail>
พฺรหฺ	truncated:<Fail>พฺรหฺ</Fail>
คํานวณ	truncated:คำนวณ
พรัห	inventory:bad body: 'pʰra-' in 'pʰra-˦˥'
แชฮร์	inventory:bad body: 'tɕʰɛː-' in 'tɕʰɛː-˧'
ล์มส	truncated:มส
นฺท	truncated:<Fail>นฺท</Fail>
ฺมธ	truncated:<Fail>ฺมธ</Fail>
ฺมร	truncated:<Fail>ฺมร</Fail>
วฺ	truncated:<Fail>วฺ</Fail>
ศฺ	truncated:<Fail>ศฺ</Fail>
ลลอหฺ	truncated:<Fail>ลลอหฺ</Fail>
รห์น	truncated:น
ฺมโช	truncated:<Fail>ฺมโช</Fail>
อู๋จฺวิ้น	truncated:<Fail>อู๋จฺวิ้น</Fail>
ล์มสเต็ด	truncated:มสเต็ด
ฺจ	truncated:<Fail>ฺจ</Fail>
ฺมทกฺ	truncated:<Fail>ฺมทกฺ</Fail>
ญฺญาย	truncated:<Fail>ญฺญาย</Fail>
เนี่อง	truncated:<Fail>เนี่อง</Fail>
ซึ้อ	truncated:<Fail>ซึ้อ</Fail>
จฺวี่	truncated:<Fail>จฺวี่</Fail>
ณฺโณ	truncated:<Fail>ณฺโณ</Fail>
ตฺต	truncated:<Fail>ตฺต</Fail>
ม์อิ	truncated:อิ
ฮู่จฺ	truncated:<Fail>ฮู่จฺ</Fail>
ฺ๋อง	truncated:<Fail>ฺ๋อง</Fail>
ลวฑฺฒ	truncated:<Fail>ลวฑฺฒ</Fail>
สมิหลา	inventory:bad body: 'mi-' in 'mi-˨˩'
สพฺพ	truncated:<Fail>สพฺพ</Fail>
อฏฺฐ	truncated:<Fail>อฏฺฐ</Fail>
ฺหิ	truncated:<Fail>ฺหิ</Fail>
ชฺฌงฺ	truncated:<Fail>ชฺฌงฺ</Fail>
ฝืมือ	truncated:<Fail>ฝืมือ</Fail>
ง่	truncated:<Fail>ง่</Fail>
ร์ท	truncated:ท
ชส์ฟือเรอร์	truncated:ฟือเรอร์
ซ๊	truncated:<Fail>ซ๊</Fail>
สจ๊วร์ต	truncated:<Fail>สจ๊วร์ต</Fail>
ตสฺ	truncated:<Fail>ตสฺ</Fail>
ทฺธส	truncated:<Fail>ทฺธส</Fail>
ลํ	truncated:<Fail>ลํ</Fail>
ภิกฺขุ	truncated:<Fail>ภิกฺขุ</Fail>
ตฺตํ	truncated:<Fail>ตฺตํ</Fail>
ง์เคิล	truncated:เคิล
บฺ	truncated:<Fail>บฺ</Fail>
ว์นีย์	truncated:นีย์
ส่ว	truncated:<Fail>ส่ว</Fail>
ท่ี	truncated:<Fail>ท่ี</Fail>
ตํ่า	truncated:<Fail>ตํ่า</Fail>
กั	truncated:<Fail>กั</Fail>
ณฺฑ	truncated:<Fail>ณฺฑ</Fail>
วู่ห	inventory:bad body: 'wuː-' in 'wuː-˥˩'
ทธื์	truncated:<Fail>ทธื์</Fail>
นนฺ	truncated:<Fail>นนฺ</Fail>
เเบบ	truncated:แบบ
ค์ส	truncated:ส
ห์ล	truncated:ล
วยฺ	truncated:<Fail>วยฺ</Fail>
ฺตฺ	truncated:<Fail>ฺตฺ</Fail>
ด์เรสต์	truncated:เรสต์
รื	truncated:<Fail>รื</Fail>
ปภสฺส	truncated:<Fail>ปภสฺส</Fail>
เป็	truncated:<Fail>เป็</Fail>
ภทฺ	truncated:<Fail>ภทฺ</Fail>
อคฺค	truncated:<Fail>อคฺค</Fail>
ต้	truncated:<Fail>ต้</Fail>
ฺวเหลียง	truncated:<Fail>ฺวเหลียง</Fail>
ร์ฟลายส์	truncated:ฟลายส์
สต์ส	truncated:ส
ปญฺญาพ	truncated:<Fail>ปญฺญาพ</Fail>
ห้ว	truncated:<Fail>ห้ว</Fail>
วํ	truncated:<Fail>วํ</Fail>
ด์ดาร์	truncated:ดาร์
เนี้อ	truncated:<Fail>เนี้อ</Fail>
รั	truncated:<Fail>รั</Fail>
วุฑฺโฒ	truncated:<Fail>วุฑฺโฒ</Fail>
เจี้ยนหฺ	truncated:<Fail>เจี้ยนหฺ</Fail>
อิห	inventory:bad body: 'ʔi-' in 'ʔi-˨˩'
สํวตฺต	truncated:<Fail>สํวตฺต</Fail>
ล้ํา	truncated:ล้ำ
ล์เดอร์	truncated:เดอร์
ห้	truncated:<Fail>ห้</Fail>
ทตฺต	truncated:<Fail>ทตฺต</Fail>
ร์ก	truncated:ก
ช่ว	truncated:<Fail>ช่ว</Fail>
ดํารง	truncated:ดำรง
ตฺวั้น	truncated:<Fail>ตฺวั้น</Fail>
ล์ก	truncated:ก
กจฺ	truncated:<Fail>กจฺ</Fail>
ลด์ฟิลด์	truncated:ฟิลด์
ต์ฮอร์ส	truncated:ฮอร์ส
ปญฺ	truncated:<Fail>ปญฺ</Fail>
วน์ท	truncated:ท
